created,commit,val_cutoff,lr,leaves,min_data,iters,rmsle_raw,rmsle_aligned,gini,seconds
2026-08-24T22:32:02,6692690,2026-01-15,0.008,127,200,480,1.68146,1.6706,0.7366,348
2026-08-24T22:39:44,6692690,2026-01-15,0.008,255,500,493,1.68077,1.67011,0.7373,462
2026-08-24T22:51:09,6692690,2026-01-15,0.008,511,1000,479,1.68072,1.67024,0.7373,685
2026-08-24T22:54:47,6692690,2026-01-15,0.015,127,200,279,1.68141,1.67033,0.7369,218
2026-08-24T22:59:55,6692690,2026-01-15,0.015,255,500,276,1.68124,1.67019,0.7376,308
2026-08-24T23:08:22,6692690,2026-01-15,0.015,511,1000,280,1.68081,1.67019,0.7374,507
2026-08-24T23:10:42,6692690,2026-01-15,0.03,127,200,129,1.68189,1.6709,0.7366,140
2026-08-24T23:14:20,6692690,2026-01-15,0.03,255,500,127,1.68123,1.67057,0.737,218
2026-08-24T23:21:01,6692690,2026-01-15,0.03,511,1000,130,1.68089,1.67042,0.7372,401
